textLoadingClassname 2;textLoadingClassname 3;css-8uhtka;css-8uhtka 2;css-8uhtka 3;textLoadingClassname 4;textLoadingClassname 5
2 rooms • 70 m² • Apartment;Kreuzstrasse, 8008 Zürich;Modern kitchen with balcony;Bright living area;Prime location in Zürich;CHF 5,500.-;CHF 943 / m² / year
1 room • 74 m² • Apartment;In Gassen, 8001 Zürich;Modern kitchen amenities;Sunny balcony space;Prime city location;CHF 8,000.-;CHF 1,297 / m² / year
27 m² • Apartment;Stauffacherstrasse, 8004 Zürich;Modern design throughout;Central location in Zürich;Spacious balcony with views;CHF 2,782.-;CHF 1,236 / m² / year
28 m² • Apartment;Binzmühlestrasse, 8050 Zürich;Modern kitchen with balcony;Bright living area with views;Close to public transport;CHF 3,960.-;CHF 1,697 / m² / year
2 rooms • 79 m² • Apartment;Birmensdorferstrasse, 8055 Zürich;Modern design throughout;Spacious balcony view;Prime city location;CHF 3,691.-;CHF 561 / m² / year
1 room • 54 m² • Apartment;Stauffacherstrasse, 8004 Zürich;Bright living area;Modern kitchen design;Close to public transport;CHF 4,066.-;CHF 904 / m² / year
2 rooms • 85 m² • Apartment;Dahliastrasse, 8008 Zürich;Modern kitchen with balcony;Bright living area;Prime location in Zürich;CHF 5,690.-;CHF 803 / m² / year
2 rooms • 90 m² • Apartment;Geranienstrasse, 8008 Zürich;Bright and airy living space;Modern kitchen with balcony;Prime location near amenities;CHF 8,141.-;CHF 1,085 / m² / year
1 room • 60 m² • Apartment;Eidmattstrasse, 8032 Zürich;Modern kitchen with balcony;Bright living area with views;Close to public transport;CHF 6,413.-;CHF 1,283 / m² / year
18 m² • Apartment;Schaffhauserstrasse, 8050 Zürich;Modern design throughout;Spacious balcony view;Prime location in Zürich;CHF 1,980.-;CHF 1,320 / m² / year
20 m² • Apartment;Badenerstrasse, 8004 Zürich;Modern design throughout;Prime location in Zürich;Spacious balcony with views;CHF 2,400.-;CHF 1,440 / m² / year
2 rooms • 66 m² • Apartment;Binzmühlestrasse, 8050 Zürich;Stylish open-plan layout;Sunny balcony with views;Prime location near amenities;CHF 8,652.-;CHF 1,573 / m² / year
1 room • 60 m² • Apartment;Baurstrasse, 8008 Zürich;Modern design throughout;Central location in Zürich;Stunning city views;CHF 8,915.-;CHF 1,783 / m² / year
1 room • 50 m² • Apartment;Gubelstrasse, 8050 Zürich;Modern design throughout;Spacious balcony view;Prime city location;CHF 3,250.-;CHF 780 / m² / year
1 room • 30 m² • Apartment;Schaffhauserstrasse, 8052 Zürich;Spacious balcony with views;Modern kitchen with island;Prime location near amenities;CHF 2,950.-;CHF 1,180 / m² / year
24 m² • Apartment;Forchstrasse, 8008 Zürich;Spacious balcony with views;Modern kitchen with island;Prime location near transport;CHF 2,300.-;CHF 1,150 / m² / year
23 m² • Apartment;Forchstrasse, 8008 Zürich;Spacious balcony with views;Modern kitchen with island;Bright living area with light;CHF 2,407.-;CHF 1,256 / m² / year
23 m² • Apartment;Forchstrasse, 8008 Zürich;Modern design throughout;Spacious balcony view;Prime location in Zürich;CHF 2,461.-;CHF 1,284 / m² / year
1 room • 48 m² • Apartment;Kanzleistrasse, 8004 Zürich;Modern kitchen with balcony;Bright living area with views;Prime location near amenities;CHF 6,345.-;CHF 1,586 / m² / year
1 room • 40 m² • Apartment;Kanzleistrasse, 8004 Zürich;Modern design throughout;Prime location in Zürich;Spacious balcony with views;CHF 5,598.-;CHF 1,679 / m² / year
1 room • 40 m² • Apartment;Eidmattstrasse, 8032 Zürich;Spacious balcony with view;Stylish open-plan layout;Prime location in Zürich;CHF 5,973.-;CHF 1,792 / m² / year
1 room • 40 m² • Apartment;Badenerstrasse, 8004 Zürich;Modern design throughout;Prime location in Zürich;Spacious balcony with views;CHF 5,599.-;CHF 1,680 / m² / year
1 room • 50 m² • Apartment;Badenerstrasse, 8004 Zürich;Modern design throughout;Prime location in Zürich;Spacious balcony with views;CHF 5,973.-;CHF 1,434 / m² / year
20 m² • Apartment;Forchstrasse, 8008 Zürich;Modern design throughout;Spacious balcony view;Prime location in Zürich;CHF 2,193.-;CHF 1,316 / m² / year
18 m² • Apartment;Forchstrasse, 8008 Zürich;Modern design throughout;Spacious balcony view;Prime location in Zürich;CHF 2,407.-;CHF 1,605 / m² / year
2 rooms • 72 m² • Apartment;Badenerstrasse, 8004 Zürich;Modern design throughout;Prime location in Zürich;Spacious balcony with views;CHF 3,800.-;CHF 633 / m² / year
1 room • 60 m² • Apartment;Badenerstrasse, 8004 Zürich;Modern kitchen with balcony;Bright living area with views;Prime location near transport;CHF 3,300.-;CHF 660 / m² / year
2 rooms • 115 m² • Apartment;Gotthelfstrasse, 8003 Zürich;Modern kitchen with balcony;Bright living area;Prime location in Zürich;CHF 9,228.-;CHF 963 / m² / year
1 room • 60 m² • Apartment;Nordstrasse, 8006 Zürich;Modern design throughout;Spacious balcony view;Prime city location;CHF 4,200.-;CHF 840 / m² / year
3 rooms • 70 m² • Apartment;Universitätstrasse, 8006 Zürich;Prime location near university;Modern amenities throughout;Spacious balcony with views;CHF 5,000.-;CHF 857 / m² / year
1 room • 83 m² • Apartment;Dahliastrasse, 8008 Zürich;Modern kitchen with balcony;Bright living area with views;Prime location near amenities;CHF 5,690.-;CHF 823 / m² / year
26 m² • Apartment;Baslerstrasse, 8048 Zürich;Modern kitchen with balcony;Bright living area with views;Prime location near amenities;CHF 4,604.-;CHF 2,125 / m² / year
1 room • 60 m² • Apartment;Nordstrasse, 8006 Zürich;Modern kitchen with balcony;Bright living area;Prime city location;CHF 4,200.-;CHF 840 / m² / year
2 rooms • 83 m² • Apartment;Seefeldstrasse, 8008 Zürich;Modern design throughout;Stunning city views;Prime location near lake;CHF 5,890.-;CHF 852 / m² / year
1 room • 23 m² • Apartment;Friesstrasse, 8050 Zürich;Spacious balcony with views;Modern kitchen with island;Prime location near amenities;CHF 2,100.-;CHF 1,096 / m² / year
1 room • 26 m² • Apartment;Stauffacherstrasse, 8004 Zürich;Modern design throughout;Central location in Zürich;Spacious balcony with views;CHF 2,889.-;CHF 1,333 / m² / year
18 m² • Apartment;Schwamendingenstrasse, 8050 Zürich;Spacious balcony with view;Bright open living area;Close to public transport;CHF 2,461.-;CHF 1,641 / m² / year
29 m² • Apartment;Birmensdorferstrasse, 8055 Zürich;Modern design throughout;Spacious balcony view;Prime city location;CHF 2,621.-;CHF 1,085 / m² / year
1 room • 40 m² • Apartment;Birmensdorferstrasse, 8055 Zürich;Stylish open-plan layout;Balcony with city views;Prime location near amenities;CHF 2,942.-;CHF 883 / m² / year
1 room • 23 m² • Apartment;Buckhauserstrasse, 8048 Zürich;Modern design throughout;Spacious balcony view;Prime city location;CHF 2,675.-;CHF 1,396 / m² / year
27 m² • Apartment;Buckhauserstrasse, 8048 Zürich;Modern kitchen with balcony;Bright living area with views;Close to public transport;CHF 2,568.-;CHF 1,141 / m² / year
1 room • 100 m² • Apartment;Wengistrasse, 8004 Zürich;Spacious balcony with views;Modern kitchen with island;Prime location in Zurich;CHF 3,500.-;CHF 420 / m² / year
1 room • 35 m² • Apartment;Stampfenbachstrasse, 8006 Zürich;Stylish urban living space;Close to public transport;Vibrant neighborhood amenities;CHF 8,424.-;CHF 2,888 / m² / year
2 rooms • 75 m² • Apartment;Geranienstrasse, 8008 Zürich;Modern kitchen with balcony;Bright living area;Prime location in Zürich;CHF 7,500.-;CHF 1,200 / m² / year
21 m² • Apartment;Forchstrasse, 8008 Zürich;Modern design throughout;Spacious balcony view;Prime location in Zürich;CHF 2,407.-;CHF 1,375 / m² / year
20 m² • Apartment;Forchstrasse, 8008 Zürich;Modern design throughout;Spacious balcony view;Prime location in Zürich;CHF 2,300.-;CHF 1,380 / m² / year
19 m² • Apartment;Forchstrasse, 8008 Zürich;Stunning city views;Modern kitchen design;Close to public transport;CHF 2,407.-;CHF 1,520 / m² / year
1 room • 90 m² • Apartment;Neugasse, 8005 Zürich;Modern kitchen with balcony;Bright living area with views;Prime location near amenities;CHF 1,300.-;CHF 173 / m² / year
1 room • 70 m² • Apartment;Färberstrasse, 8008 Zürich;Spacious balcony with views;Modern kitchen with island;Prime location in Zurich;CHF 4,790.-;CHF 821 / m² / year
1 room • 20 m² • Apartment;Asylstrasse, 8032 Zürich;Stylish open-plan layout;Sunny balcony with views;Prime location near amenities;CHF 3,600.-;CHF 2,160 / m² / year
3 rooms • 75 m² • Apartment;Gubelstrasse, 8050 Zürich;Spacious balcony with view;Stylish open-plan layout;Prime location in Zürich;CHF 4,750.-;CHF 760 / m² / year
1 room • 30 m² • Apartment;Gubelstrasse, 8050 Zürich;Modern kitchen with balcony;Bright living area;Prime city location;CHF 2,450.-;CHF 980 / m² / year
2 rooms • 110 m² • Apartment;Mainaustrasse, 8008 Zürich;Modern design throughout;Spacious balcony view;Prime city location;CHF 6,490.-;CHF 708 / m² / year
1 room • 36 m² • Apartment;Friesstrasse, 8050 Zürich;Spacious balcony with view;Modern kitchen with island;Bright living area with light;CHF 3,100.-;CHF 1,033 / m² / year
30 m² • Apartment;Baurstrasse, 8008 Zürich;Stylish urban living space;Close to public transport;Vibrant neighborhood amenities;CHF 4,980.-;CHF 1,992 / m² / year
1 room • 60 m² • Apartment;Schwamendingenstrasse, 8050 Zürich;Modern kitchen with balcony;Bright living area;Close to public transport;CHF 4,012.-;CHF 802 / m² / year
1 room • 35 m² • Apartment;Hohlstrasse, 8048 Zürich;Stylish urban design;Close to public transport;Spacious balcony with view;CHF 2,835.-;CHF 972 / m² / year
1 room • 35 m² • Apartment;Hohlstrasse, 8048 Zürich;Bright and spacious room;Well-located in Zürich;Close to public transport;CHF 2,889.-;CHF 1,005 / m² / year
2 rooms • 185 m² • Apartment;Titlisstrasse, 8032 Zürich;Modern kitchen with balcony;Bright living area;Prime location near amenities;CHF 7,550.-;CHF 490 / m² / year
1 room • 35 m² • Apartment;Hohlstrasse, 8048 Zürich;Stylish urban living;Close to public transport;Vibrant neighborhood vibes;CHF 2,835.-;CHF 972 / m² / year
1 room • 38 m² • Apartment;Birmensdorferstrasse, 8055 Zürich;Modern design throughout;Spacious balcony view;Prime city location;CHF 2,728.-;CHF 861 / m² / year
1 room • 40 m² • Apartment;Buckhauserstrasse, 8048 Zürich;Bright open living space;Stylish kitchen with island;Close to public transport;CHF 2,782.-;CHF 835 / m² / year
2 rooms • 80 m² • Apartment;General-Wille-Strasse, 8002 Zürich;Stylish open-plan layout;Balcony with city views;Prime location near amenities;CHF 5,890.-;CHF 884 / m² / year
1 room • 30 m² • Apartment;Friesstrasse, 8050 Zürich;Spacious balcony with view;Modern kitchen with island;Prime location in Zurich;CHF 2,450.-;CHF 980 / m² / year
1 room • 38 m² • Apartment;Schwamendingenstrasse, 8050 Zürich;Stunning mountain views;Cozy fireplace ambiance;Spacious outdoor terrace;CHF 2,729.-;CHF 862 / m² / year
1 room • 39 m² • Apartment;Hohlstrasse, 8048 Zürich;Stylish open-plan layout;Central location with amenities;Balcony with city views;CHF 2,940.-;CHF 912 / m² / year
25 m² • Apartment;Stampfenbachstrasse, 8006 Zürich;Modern kitchen amenities;Spacious balcony view;Prime city location;CHF 5,345.-;CHF 2,566 / m² / year
1 room • 58 m² • Apartment;Müllerstrasse, 8004 Zürich;Modern kitchen with balcony;Bright living area;Prime location in Zürich;CHF 6,346.-;CHF 1,313 / m² / year
2 rooms • 43 m² • Apartment;Zelgstrasse, 8003 Zürich;Spacious balcony with views;Modern kitchen with island;Prime location in Zurich;CHF 4,200.-;CHF 1,172 / m² / year
1 room • 20 m² • Apartment;Asylstrasse, 8032 Zürich;Modern kitchen with balcony;Bright living area;Prime location in Zürich;CHF 2,250.-;CHF 1,350 / m² / year
1 room • 33 m² • Apartment;Stauffacherstrasse, 8004 Zürich;Modern design throughout;Central location in Zürich;Spacious balcony with views;CHF 3,317.-;CHF 1,206 / m² / year
1 room • 41 m² • Apartment;Schwamendingenstrasse, 8050 Zürich;Spacious balcony with view;Bright open living area;Close to public transport;CHF 2,835.-;CHF 830 / m² / year
43 m² • 43 m² Plot • Apartment;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 7,660.-;CHF 2,138 / m² / year
111 m² • 111 m² Plot • Apartment;8041 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 7,720.-;CHF 835 / m² / year
75 m² • 75 m² Plot • Apartment;8038 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,320.-;CHF 1,011 / m² / year
78 m² • 78 m² Plot • Apartment;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,150.-;CHF 638 / m² / year
67 m² • 67 m² Plot • Apartment;8037 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,450.-;CHF 976 / m² / year
75 m² • 75 m² Plot • Apartment;8004 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,200.-;CHF 992 / m² / year
59 m² • 59 m² Plot • Apartment;8048 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,220.-;CHF 1,062 / m² / year
77 m² • 77 m² Plot • Apartment;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,050.-;CHF 787 / m² / year
54 m² • 54 m² Plot • Apartment;8006 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,960.-;CHF 1,324 / m² / year
76 m² • 76 m² Plot • Apartment;8001 Zürich;Authentic photos provided;Virtual tours available;Safe online renting process;CHF 5,020.-;CHF 793 / m² / year
59 m² • 59 m² Plot • Apartment;8048 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,830.-;CHF 982 / m² / year
70 m² • 70 m² Plot • Apartment;8004 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,300.-;CHF 1,080 / m² / year
70 m² • 70 m² Plot • Apartment;8041 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,110.-;CHF 705 / m² / year
48 m² • 48 m² Plot • Apartment;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,950.-;CHF 1,488 / m² / year
18 m² • 18 m² Plot • Studio;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,450.-;CHF 2,300 / m² / year
56 m² • 56 m² Plot • Apartment;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,420.-;CHF 1,376 / m² / year
32 m² • 32 m² Plot • Studio;8048 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,660.-;CHF 1,373 / m² / year
55 m² • 55 m² Plot • Apartment;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,100.-;CHF 1,331 / m² / year
101 m² • 101 m² Plot • Apartment;8055 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 8,090.-;CHF 961 / m² / year
70 m² • 70 m² Plot • Apartment;8041 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,700.-;CHF 806 / m² / year
32 m² • 32 m² Plot • Studio;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,630.-;CHF 1,361 / m² / year
52 m² • 52 m² Plot • Apartment;8057 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,840.-;CHF 886 / m² / year
50 m² • 50 m² Plot • Apartment;8050 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 2,880.-;CHF 691 / m² / year
73 m² • 73 m² Plot • Apartment;8041 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,820.-;CHF 792 / m² / year
61 m² • 61 m² Plot • Apartment;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,310.-;CHF 1,241 / m² / year
77 m² • 77 m² Plot • Apartment;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,960.-;CHF 929 / m² / year
56 m² • 56 m² Plot • Apartment;8037 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,800.-;CHF 814 / m² / year
81 m² • 81 m² Plot • Apartment;8045 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,350.-;CHF 941 / m² / year
18 m² • 18 m² Plot • Studio;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,700.-;CHF 2,467 / m² / year
28 m² • 28 m² Plot • Studio;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,940.-;CHF 1,689 / m² / year
48 m² • 48 m² Plot • Apartment;8004 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,460.-;CHF 1,365 / m² / year
52 m² • 52 m² Plot • Apartment;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,300.-;CHF 1,223 / m² / year
57 m² • 57 m² Plot • Apartment;8004 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,610.-;CHF 1,181 / m² / year
28 m² • 28 m² Plot • Studio;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,100.-;CHF 1,757 / m² / year
59 m² • 59 m² Plot • Apartment;8032 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,200.-;CHF 1,261 / m² / year
43 m² • Apartment;Gujerstrasse, 8050 Zürich;Spacious balcony with views;Modern kitchen with island;Prime location in Zurich;CHF 2,850.-;CHF 795 / m² / year
1 room • Apartment;Hallwylstrasse, 8004 Zürich;Spacious balcony with view;Modern kitchen amenities;Prime location in Zurich;CHF 1,350.-;—
1 room • 70 m² • Apartment;Zentralstrasse, 8003 Zürich;Central location in Zürich;Stylish modern design;Close to public transport;CHF 7,325.-;CHF 1,256 / m² / year
48 m² • 48 m² Plot • Apartment;8055 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,400.-;CHF 1,100 / m² / year
67 m² • 67 m² Plot • Apartment;8055 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,910.-;CHF 1,059 / m² / year
33 m² • 33 m² Plot • Studio;8055 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,600.-;CHF 1,673 / m² / year
67 m² • 67 m² Plot • Apartment;8055 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,680.-;CHF 1,196 / m² / year
33 m² • 33 m² Plot • Studio;8055 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,430.-;CHF 1,611 / m² / year
33 m² • 33 m² Plot • Studio;8055 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,210.-;CHF 1,531 / m² / year
71 m² • 71 m² Plot • Apartment;8055 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,270.-;CHF 1,060 / m² / year
1 room • 49 m² • Apartment;Weststrasse, 8003 Zürich;Modern design throughout;Spacious balcony view;Prime location in Zürich;CHF 4,590.-;CHF 1,124 / m² / year
1 room • 60 m² • Apartment;Rosengartenstrasse, 8037 Zürich;Stunning city views;Modern kitchen amenities;Close to public transport;CHF 6,555.-;CHF 1,311 / m² / year
1 room • 75 m² • Apartment;Münchhaldenstrasse, 8008 Zürich;Stunning city views;Spacious balcony area;Prime location near amenities;CHF 8,775.-;CHF 1,404 / m² / year
1 room • 65 m² • Apartment;Kirchenweg, 8008 Zürich;Modern kitchen with balcony;Bright living area with views;Prime location near amenities;CHF 9,200.-;CHF 1,698 / m² / year
2 rooms • 70 m² • Apartment;Hofackerstrasse, 8032 Zürich;Modern kitchen with balcony;Bright living area;Prime location in Zürich;CHF 5,790.-;CHF 993 / m² / year
1 room • Apartment;Strassburgstrasse, 8004 Zürich;Modern kitchen with balcony;Bright living area;Prime location in Zürich;CHF 1,300.-;—
Apartment;8037 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,080.-;—
65 m² • 65 m² Plot • Apartment;8004 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,600.-;CHF 1,034 / m² / year
78 m² • 78 m² Plot • Apartment;8002 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,730.-;CHF 882 / m² / year
1 room • 70 m² • Apartment;Färberstrasse, 8008 Zürich;Spacious balcony with views;Modern kitchen with island;Prime location near amenities;CHF 4,890.-;CHF 838 / m² / year
1 room • 55 m² • Apartment;Höschgasse, 8008 Zürich;Stunning city views;Modern open-plan design;Prime location in Zürich;CHF 4,490.-;CHF 980 / m² / year
37 m² • Apartment;General-Wille-Strasse, 8002 Zürich;Modern kitchen with balcony;Bright living area;Prime location in Zürich;CHF 3,390.-;CHF 1,099 / m² / year
85 m² • 85 m² Plot • Apartment;8002 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,960.-;CHF 983 / m² / year
85 m² • 85 m² Plot • Apartment;8002 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 7,640.-;CHF 1,079 / m² / year
75 m² • 75 m² Plot • Apartment;8032 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,400.-;CHF 704 / m² / year
1 room • Apartment;Gemeindestrasse, 8032 Zürich;Modern design throughout;Spacious balcony view;Prime city location;CHF 1,400.-;—
1 room • 63 m² • Apartment;Sumatrastrasse, 8006 Zürich;Modern kitchen with balcony;Bright living area;Prime location near amenities;CHF 4,990.-;CHF 950 / m² / year
2 rooms • 100 m² • Apartment;Schipfe, 8001 Zürich;Stunning river views;Modern kitchen amenities;Central location in Zürich;CHF 6,490.-;CHF 779 / m² / year
