textLoadingClassname 2;textLoadingClassname 3;css-8uhtka;css-8uhtka 2;css-8uhtka 3;textLoadingClassname 4;textLoadingClassname 5
2 rooms • 80 m² • Apartment;Untere Zäune, 8001 Zürich;Modern kitchen with balcony;Bright living area;Prime location in Zürich;CHF 6,990.-;CHF 1,049 / m² / year
25 m² • Apartment;Untere Zäune, 8001 Zürich;Modern design throughout;Spacious balcony view;Prime city location;CHF 2,890.-;CHF 1,387 / m² / year
1 room • 57 m² • Apartment;Zeltweg, 8032 Zürich;Modern kitchen with balcony;Bright living area;Prime location near amenities;CHF 4,190.-;CHF 882 / m² / year
2 rooms • 110 m² • Apartment;Niederdorfstrasse, 8001 Zürich;Central location in Niederdorf;Modern amenities throughout;Bright and spacious living area;CHF 7,490.-;CHF 817 / m² / year
2 rooms • 85 m² • Apartment;Höschgasse, 8008 Zürich;Modern design throughout;Prime location in Zürich;Stunning city views;CHF 6,390.-;CHF 902 / m² / year
30 m² • Apartment;Hofackerstrasse, 8032 Zürich;Modern kitchen with balcony;Bright living area;Prime location in Zürich;CHF 3,290.-;CHF 1,316 / m² / year
54 m² • 54 m² Plot • Apartment;8055 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,000.-;CHF 1,111 / m² / year
61 m² • 61 m² Plot • Apartment;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,350.-;CHF 1,052 / m² / year
86 m² • 86 m² Plot • Apartment;8004 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,440.-;CHF 899 / m² / year
69 m² • 69 m² Plot • Apartment;8037 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,660.-;CHF 810 / m² / year
54 m² • 54 m² Plot • Apartment;8032 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,100.-;CHF 911 / m² / year
60 m² • 60 m² Plot • Apartment;8050 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,430.-;CHF 886 / m² / year
105 m² • 105 m² Plot • Apartment;8048 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,820.-;CHF 551 / m² / year
70 m² • 70 m² Plot • Apartment;8055 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,880.-;CHF 1,179 / m² / year
74 m² • 74 m² Plot • Apartment;8048 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,620.-;CHF 587 / m² / year
28 m² • 28 m² Plot • Studio;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,590.-;CHF 1,539 / m² / year
18 m² • 18 m² Plot • Studio;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,590.-;CHF 2,393 / m² / year
52 m² • 52 m² Plot • Apartment;8002 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,110.-;CHF 718 / m² / year
2 rooms • 85 m² • Apartment;Dahliastrasse, 8008 Zürich;Sunny balcony retreat;Modern kitchen design;Prime city location;CHF 5,890.-;CHF 832 / m² / year
1 room • 60 m² • Apartment;Hammerstrasse, 8032 Zürich;Modern design throughout;Spacious balcony view;Prime city location;CHF 4,590.-;CHF 918 / m² / year
1 room • 54 m² • Apartment;Weststrasse, 8003 Zürich;Modern design throughout;Spacious balcony view;Prime city location;CHF 4,790.-;CHF 1,064 / m² / year
90 m² • 90 m² Plot • Apartment;8037 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,300.-;CHF 840 / m² / year
41 m² • 41 m² Plot • Studio;8037 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,230.-;CHF 945 / m² / year
90 m² • 90 m² Plot • Apartment;8037 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,480.-;CHF 864 / m² / year
35 m² • 35 m² Plot • Studio;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,160.-;CHF 1,083 / m² / year
80 m² • 80 m² Plot • Apartment;8004 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,770.-;CHF 716 / m² / year
59 m² • 59 m² Plot • Apartment;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,420.-;CHF 1,102 / m² / year
55 m² • 55 m² Plot • Apartment;8004 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,730.-;CHF 1,032 / m² / year
59 m² • 59 m² Plot • Apartment;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,840.-;CHF 984 / m² / year
53 m² • 53 m² Plot • Apartment;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,350.-;CHF 985 / m² / year
83 m² • 83 m² Plot • Apartment;8008 Zürich;Verified listings online;Real photos and videos;Safe rental experience;CHF 5,990.-;CHF 866 / m² / year
123 m² • 123 m² Plot • Apartment;8045 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 8,670.-;CHF 846 / m² / year
43 m² • Apartment;Gujerstrasse, 8050 Zürich;Modern kitchen with balcony;Bright living area;Prime location in Zürich;CHF 2,700.-;CHF 753 / m² / year
100 m² • 100 m² Plot • Apartment;8001 Zürich;Authentic photos provided;Virtual tours available;Safe online booking;CHF 6,890.-;CHF 827 / m² / year
35 m² • 35 m² Plot • Apartment;8032 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 2,990.-;CHF 1,025 / m² / year
65 m² • 65 m² Plot • Apartment;8001 Zürich;Verified listings only;Real photos & videos;Secure online booking;CHF 3,790.-;CHF 700 / m² / year
55 m² • 55 m² Plot • Apartment;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,090.-;CHF 892 / m² / year
78 m² • 78 m² Plot • Apartment;8032 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,090.-;CHF 783 / m² / year
40 m² • 40 m² Plot • Studio;8037 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 2,990.-;CHF 897 / m² / year
90 m² • 90 m² Plot • Apartment;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,990.-;CHF 799 / m² / year
75 m² • 75 m² Plot • Apartment;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,690.-;CHF 750 / m² / year
75 m² • 75 m² Plot • Apartment;8032 Zürich;Authentic photos provided;Virtual tours available;Verified listings for trust;CHF 4,790.-;CHF 766 / m² / year
30 m² • 30 m² Plot • Studio;8032 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 2,790.-;CHF 1,116 / m² / year
16 m² • 16 m² Plot • Apartment;8001 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 1,890.-;CHF 1,418 / m² / year
55 m² • 55 m² Plot • Apartment;8001 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,830.-;CHF 1,054 / m² / year
25 m² • 25 m² Plot • Studio;8001 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 2,990.-;CHF 1,435 / m² / year
120 m² • 120 m² Plot • Apartment;8008 Zürich;Verified listings online;Real photos and videos;Safe rental decisions;CHF 6,990.-;CHF 699 / m² / year
37 m² • 37 m² Plot • Studio;8002 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 2,990.-;CHF 970 / m² / year
51 m² • 51 m² Plot • Apartment;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,590.-;CHF 1,080 / m² / year
54 m² • 54 m² Plot • Apartment;8003 Zürich;Verified listings online;Real photos and videos;Safe rental decisions;CHF 4,590.-;CHF 1,020 / m² / year
85 m² • 85 m² Plot • Apartment;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,590.-;CHF 789 / m² / year
80 m² • 80 m² Plot • Apartment;8001 Zürich;Authentic photos provided;Virtual tours available;Verified listings for trust;CHF 7,190.-;CHF 1,079 / m² / year
83 m² • 83 m² Plot • Apartment;8002 Zürich;Verified listings online;Real photos and videos;Safe rental decisions;CHF 5,090.-;CHF 736 / m² / year
70 m² • 70 m² Plot • Apartment;8008 Zürich;Authentic local photos;Virtual tours available;Secure online booking;CHF 4,590.-;CHF 787 / m² / year
50 m² • 50 m² Plot • Apartment;8008 Zürich;Verified listings online;Real photos and videos;Safe rental decisions;CHF 3,990.-;CHF 958 / m² / year
53 m² • 53 m² Plot • Apartment;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,650.-;CHF 1,053 / m² / year
55 m² • 55 m² Plot • Apartment;8032 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,150.-;CHF 905 / m² / year
95 m² • 95 m² Plot • Apartment;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,390.-;CHF 681 / m² / year
35 m² • 35 m² Plot • Apartment;8032 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 2,890.-;CHF 991 / m² / year
71 m² • 71 m² Plot • Apartment;8003 Zürich;Authentic photos provided;Virtual tours available;Safe online booking;CHF 4,890.-;CHF 826 / m² / year
25 m² • 25 m² Plot • Studio;8001 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 2,490.-;CHF 1,195 / m² / year
1 room • 28 m² • Apartment;Sumatrastrasse, 8006 Zürich;Modern kitchen with balcony;Bright living area;Close to public transport;CHF 3,064.-;CHF 1,313 / m² / year
59 m² • 59 m² Plot • Apartment;8032 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,650.-;CHF 946 / m² / year
75 m² • 75 m² Plot • Apartment;8037 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,620.-;CHF 739 / m² / year
64 m² • 64 m² Plot • Apartment;8055 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,290.-;CHF 1,179 / m² / year
1 room • 42 m² • Apartment;Forchstrasse, 8032 Zürich;Modern design throughout;Spacious balcony view;Prime location in Zürich;CHF 3,090.-;CHF 883 / m² / year
80 m² • 80 m² Plot • Apartment;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 7,640.-;CHF 1,146 / m² / year
60 m² • 60 m² Plot • Apartment;8050 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,180.-;CHF 836 / m² / year
37 m² • 37 m² Plot • Apartment;8004 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,480.-;CHF 1,453 / m² / year
22 m² • 22 m² Plot • Studio;8004 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,200.-;CHF 1,745 / m² / year
70 m² • 70 m² Plot • Apartment;8050 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,690.-;CHF 804 / m² / year
69 m² • 69 m² Plot • Apartment;8050 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,740.-;CHF 824 / m² / year
46 m² • 46 m² Plot • Apartment;8055 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,050.-;CHF 1,578 / m² / year
106 m² • 106 m² Plot • Apartment;8006 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,930.-;CHF 671 / m² / year
78 m² • 78 m² Plot • Apartment;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,690.-;CHF 875 / m² / year
78 m² • 78 m² Plot • Apartment;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,690.-;CHF 875 / m² / year
90 m² • 90 m² Plot • Apartment;8037 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,860.-;CHF 515 / m² / year
90 m² • 90 m² Plot • Apartment;8008 Zürich;Authentic photos provided;Virtual tours available;Verified listings only;CHF 5,790.-;CHF 772 / m² / year
59 m² • 59 m² Plot • Apartment;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,190.-;CHF 852 / m² / year
78 m² • 78 m² Plot • Apartment;8008 Zürich;Verified listings online;Real photos and videos;Safe rental decisions;CHF 4,390.-;CHF 675 / m² / year
55 m² • 55 m² Plot • Apartment;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,190.-;CHF 696 / m² / year
1 room • 29 m² • Apartment;Talstrasse 20, 8001 Zürich;Central location in Zurich;Well-equipped kitchen area;Cozy shared waiting room;CHF 850.-;CHF 352 / m² / year
4 rooms • 120 m² • Apartment;Ottenbergstrasse, 8049 Zürich;Modern kitchen with balcony;Bright living area;Prime location in Zürich;CHF 7,440.-;CHF 744 / m² / year
2 rooms • 85 m² • Apartment;Höschgasse, 8008 Zürich;Stunning city views;Modern kitchen design;Prime location in Zürich;CHF 6,390.-;CHF 902 / m² / year
1 room • 75 m² • Apartment;Mainaustrasse, 8008 Zürich;Modern design throughout;Spacious balcony view;Prime location in Zürich;CHF 5,490.-;CHF 878 / m² / year
1 room • 56 m² • Apartment;Seefeldstrasse, 8008 Zürich;Stunning city views;Modern kitchen amenities;Close to public transport;CHF 4,799.-;CHF 1,028 / m² / year
66 m² • 66 m² Plot • Apartment;8002 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,980.-;CHF 905 / m² / year
85 m² • 85 m² Plot • Apartment;8055 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 7,860.-;CHF 1,110 / m² / year
128 m² • 128 m² Plot • Apartment;8044 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 9,000.-;CHF 844 / m² / year
35 m² • 35 m² Plot • Studio;8004 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,910.-;CHF 1,341 / m² / year
28 m² • 28 m² Plot • Studio;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,540.-;CHF 1,517 / m² / year
92 m² • 92 m² Plot • Apartment;8045 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,980.-;CHF 910 / m² / year
30 m² • Apartment;Mürtschenstrasse, 8048 Zürich;Modern design throughout;Spacious balcony view;Prime city location;CHF 2,700.-;CHF 1,080 / m² / year
2.5 rooms • 55 m² • Apartment;Blauäcker 10, 8051 Zürich;Spacious balcony for relaxation;1 min walk to tram stops;Close to shops and amenities;CHF 1,820.-;CHF 397 / m² / year
1 room • 25 m² • Apartment;Steinstrasse, 8003 Zürich;Spacious balcony with views;Modern kitchen with island;Prime location in Zurich;CHF 1,995.-;CHF 958 / m² / year
48 m² • 48 m² Plot • Apartment;8006 Zürich;Authentic photos provided;Virtual tours available;Verified listings for trust;CHF 4,280.-;CHF 1,070 / m² / year
40 m² • 40 m² Plot • Apartment;8006 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,040.-;CHF 912 / m² / year
55 m² • 55 m² Plot • Apartment;8003 Zürich;Authentic photos provided;Virtual tours available;Verified listings only;CHF 3,910.-;CHF 853 / m² / year
70 m² • 70 m² Plot • Apartment;8006 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,730.-;CHF 811 / m² / year
70 m² • 70 m² Plot • Apartment;8006 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,930.-;CHF 845 / m² / year
24 m² • 24 m² Plot • Studio;8006 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,450.-;CHF 1,725 / m² / year
33 m² • 33 m² Plot • Studio;8006 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 2,930.-;CHF 1,065 / m² / year
69 m² • 69 m² Plot • Apartment;8050 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,730.-;CHF 649 / m² / year
30 m² • 30 m² Plot • Apartment;8005 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,400.-;CHF 1,760 / m² / year
55 m² • 55 m² Plot • Apartment;8008 Zürich;Verified listings online;Real photos and videos;Safe rental decisions;CHF 6,990.-;CHF 1,525 / m² / year
1 room • 50 m² • Apartment;Seebacherstrasse, 8052 Zürich;Stunning lake views;Modern kitchen amenities;Spacious balcony retreat;CHF 2,470.-;CHF 593 / m² / year
1.5 rooms • 35 m² • Apartment;Waidstrasse 38, 8037 Zürich;Quiet courtyard view;Private green terrace;Fully furnished & equipped;CHF 1,400.-;CHF 480 / m² / year
3 rooms • 90 m² • Apartment;Münsterhof 6, 8001 Zürich;Spacious loggia for relaxation;High-end Miele kitchen;Quiet location near landmarks;CHF 2,850.-;CHF 380 / m² / year
72 m² • 72 m² Plot • Apartment;8002 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,300.-;CHF 883 / m² / year
32 m² • 32 m² Plot • Apartment;8048 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,800.-;CHF 1,425 / m² / year
59 m² • 59 m² Plot • Apartment;8048 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,850.-;CHF 783 / m² / year
54 m² • 54 m² Plot • Apartment;8006 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,240.-;CHF 942 / m² / year
65 m² • 65 m² Plot • Apartment;8006 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,890.-;CHF 903 / m² / year
102 m² • 102 m² Plot • Apartment;8005 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,910.-;CHF 813 / m² / year
79 m² • 79 m² Plot • Apartment;8048 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,630.-;CHF 551 / m² / year
74 m² • 74 m² Plot • Apartment;8048 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,720.-;CHF 765 / m² / year
3 rooms • 100 m² • Apartment;Luegete, 8053 Zürich;Modern kitchen with balcony;Bright living area;Prime city location;CHF 6,500.-;CHF 780 / m² / year
2 rooms • 50 m² • Furnished apartment;Baurstrasse 29, 8008 Zürich;Stunning 70m² rooftop terrace;Bright with floor-to-ceiling windows;Modern design with high-end finishes;CHF 6,790.-;CHF 1,630 / m² / year
2 rooms • 60 m² • Furnished apartment;Baurstrasse 29, 8008 Zürich;70 m² rooftop terrace;Elegant EAST style design;Heart of Seefeld location;CHF 7,390.-;CHF 1,478 / m² / year
Penthouse;Saumackerstrasse 98, 8048 Zürich;Affordable monthly rent;Convenient location;Includes utility costs;CHF 120.-;—
2 rooms • 78 m² • Apartment;Helenastrasse, 8008 Zürich;Sunny balcony retreat;Modern kitchen design;Prime city location;CHF 6,500.-;CHF 1,000 / m² / year
2.5 rooms • 55 m² • Furnished apartment;Hönggerstrasse 40, 8037 Zürich;Spacious balcony for relaxation;Modern kitchen with high-end appliances;All-inclusive services provided;CHF 3,990.-;CHF 871 / m² / year
3.5 rooms • 80 m² • Apartment;8003 Zürich;Fully furnished for comfort;Fast Wi-Fi and Smart-TV;Central location with parking;CHF 4,613.-;CHF 692 / m² / year
2 rooms • 80 m² • Apartment;Austrasse, 8045 Zürich;Modern kitchen with balcony;Bright living area;Prime city location;CHF 3,100.-;CHF 465 / m² / year
1 room • 40 m² • Apartment;Affolternstrasse, 8050 Zürich;Spacious balcony with views;Modern kitchen with island;Bright living area with light;CHF 2,600.-;CHF 780 / m² / year
1 room • 87 m² • Apartment;Badenerstrasse, 8004 Zürich;Modern kitchen with balcony;Bright living area;Prime city location;CHF 5,560.-;CHF 767 / m² / year
40 m² • Apartment;Badenerstrasse, 8004 Zürich;Modern kitchen amenities;Sunny balcony retreat;Prime city location;CHF 3,590.-;CHF 1,077 / m² / year
45 m² • Apartment;Badenerstrasse, 8004 Zürich;Spacious balcony with views;Modern kitchen with island;Prime location in Zurich;CHF 3,590.-;CHF 957 / m² / year
1 room • 60 m² • Apartment;Badenerstrasse, 8004 Zürich;Modern kitchen with balcony;Bright living area;Prime city location;CHF 4,150.-;CHF 830 / m² / year
2 rooms • 75 m² • Apartment;Zollstrasse, 8005 Zürich;Modern kitchen with balcony;Bright living area;Prime city location;CHF 4,990.-;CHF 798 / m² / year
5 rooms • Apartment;Carmenstrasse 35, 8032 Zürich;Stunning lake view terrace;High-end Herzog kitchen;Spacious balconies for relaxation;CHF 6,800.-;—
75 m² • 75 m² Plot • Apartment;8055 Zürich;Authentic photos & videos;Secure online viewing;Trusted rental process;CHF 4,290.-;CHF 686 / m² / year
55 m² • 55 m² Plot • Apartment;8003 Zürich;Authentic photos & videos;Verified listings for trust;Easy online viewing process;CHF 4,000.-;CHF 873 / m² / year
84 m² • 84 m² Plot • Apartment;8002 Zürich;Authentic photos provided;Online viewing available;Secure rental process;CHF 7,600.-;CHF 1,086 / m² / year
18 m² • 18 m² Plot • Studio;8003 Zürich;Authentic photos provided;Online viewing available;Secure rental process;CHF 2,570.-;CHF 1,713 / m² / year
18 m² • 18 m² Plot • Studio;8003 Zürich;Authentic photos & videos;Secure online booking;Trusted property verification;CHF 2,530.-;CHF 1,687 / m² / year
76 m² • 76 m² Plot • Apartment;8002 Zürich;Authentic photos provided;Online viewing available;Secure rental process;CHF 5,240.-;CHF 827 / m² / year
66 m² • 66 m² Plot • Apartment;8045 Zürich;Authentic photos & videos;Verified listings for trust;Easy online viewing process;CHF 3,780.-;CHF 687 / m² / year
43 m² • 43 m² Plot • Apartment;8038 Zürich;Authentic photos provided;Online viewing available;Secure rental process;CHF 2,670.-;CHF 745 / m² / year
63 m² • 63 m² Plot • Apartment;8003 Zürich;Authentic photos provided;Online viewing available;Verified listings only;CHF 3,390.-;CHF 646 / m² / year
103 m² • 103 m² Plot • Apartment;8050 Zürich;Authentic photos provided;Online viewing available;Secure rental process;CHF 2,800.-;CHF 326 / m² / year
